Date,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2018-01-01,4,-99,20,-10,-26,-1,-9,10,14,7,-6,-72,-13,6,-9,-12,-9,-8,-9,3,-21,4,-23,-48,-33,-14,-15,-33,-25,-22,-13,2,-30,-50,-22,-10,-1,-32,2,-2,-2,-17,-4,-31,2,-34,-9,-25,-14,3,-3,-7,-11,5,-8,-6,0,-14,-6,-61,-16
2018-01-02,-6,-60,26,-11,-13,-13,1,-41,10,13,-16,-71,-5,-19,-6,-12,-4,-6,-2,4,-22,-7,-23,-48,-22,-15,2,-22,-28,-24,-10,-40,-15,-35,-14,-14,-23,-29,-10,-6,-2,-12,-8,-20,11,-16,-8,-10,-38,0,-23,2,-8,11,1,4,3,-21,-11,-19,-15
2018-01-03,-35,-29,14,-13,-13,-2,7,-32,4,1,-11,-51,4,-19,-21,-15,2,-1,7,5,-14,-5,-35,-18,-21,-20,-13,-20,-19,-20,-7,-46,-6,-39,-17,-27,-32,-19,-27,-9,0,-9,-5,-18,-8,-17,-4,-12,-36,-4,-24,-1,-11,0,0,-23,11,-21,-20,-12,-12
2018-01-04,-16,-12,9,-3,-3,2,3,-25,11,5,-8,-31,2,-11,-22,-9,9,-1,-11,-3,-22,-73,-69,-12,-23,-20,-15,-28,-18,-15,-1,-27,-1,-18,-12,-25,-28,-15,-24,-5,0,-5,-19,-16,-2,-7,-22,-21,-26,-3,-24,10,-10,-2,-3,-9,9,-12,-38,-8,-9
2018-01-05,1,1,-17,-30,3,12,-6,-19,7,-4,-4,-19,2,-1,-17,-7,-15,0,-20,-6,-17,-71,-58,-13,-9,-2,-13,-22,-10,-6,3,-30,-50,-18,-1,-21,-24,-3,-23,-1,3,-8,-23,-26,-8,-8,-10,-15,-28,1,-22,-3,-8,0,-1,2,5,-11,-35,7,-12
2018-01-06,16,2,-44,-25,-9,14,6,-16,10,4,11,-26,-1,-6,-16,-5,-22,-4,-13,-2,-16,-41,-32,-11,-10,0,-5,-14,-15,-6,1,-36,-42,-20,-1,-19,-17,-15,-23,2,8,-10,1,-23,-2,6,-2,-20,-14,-12,-17,-19,-12,-2,1,2,11,-10,-27,-13,-19
2018-01-07,17,1,-34,-18,1,16,2,-13,13,3,-11,-22,2,0,-11,-4,-14,5,-35,-8,-14,-30,-37,-6,-8,-2,-4,-8,-6,-45,3,-45,-8,-13,3,-16,-15,-3,-21,3,-6,-46,-9,-23,-3,1,-7,-36,-16,-7,-16,-22,-6,2,-27,-3,9,-9,-43,-10,-16
2018-01-08,2,3,-28,-7,-31,9,-3,-5,-7,2,-97,-14,-10,2,-5,-6,-14,4,-16,-6,-5,-15,-54,-8,-7,-5,-1,-7,-2,-31,-1,-31,-10,-8,-2,-29,-21,-2,-13,-2,-2,-13,-13,-14,-1,-14,3,-16,-56,-9,-9,-20,-2,0,-13,-4,7,-11,-39,-10,-19
2018-01-09,-12,2,-44,0,-54,10,8,-6,-3,2,-42,-8,-9,-1,3,-8,-9,11,-18,-1,-2,-25,-22,-5,-8,-1,-15,6,-35,-21,-8,-26,-28,-28,6,-19,-19,8,-16,0,0,-13,-20,-5,-13,-4,2,-17,-24,-3,-7,-21,-5,3,-12,1,1,-12,-28,-5,-18
2018-01-10,-30,-17,-80,-26,-35,-34,3,-13,1,-2,-30,-10,-4,4,5,-11,-17,-3,-16,-40,2,-39,-19,-4,10,14,-126,4,-27,-24,-5,-16,-23,-35,2,-26,-15,13,-8,1,-34,-15,-14,-1,0,-17,-2,-24,-17,2,-14,-13,-7,7,-11,-1,1,-5,-18,-2,-16
2018-01-11,-29,-1,-52,-42,-22,-36,12,-11,1,4,-23,-5,1,4,-7,-29,-15,0,-14,-75,-5,-27,-10,-9,-21,11,-37,-16,-20,-11,4,-2,-42,-29,-1,-59,-23,2,-27,0,-11,-4,-13,-19,-6,-43,-18,-21,-18,4,-15,-13,-9,4,-13,1,10,-2,-22,-8,-12
2018-01-12,-5,-7,-22,-29,-6,-22,5,-10,7,6,-21,-23,-8,2,-6,-18,-18,2,-2,-46,-25,-17,-6,-8,-20,10,-28,-9,-21,-6,-1,-11,-71,-27,2,-42,-28,-28,-12,-5,-17,-7,-4,-46,-19,-32,-19,-17,-36,5,-21,-7,-5,-1,-5,9,4,-11,-19,-13,-6
2018-01-13,4,-5,-12,-23,-14,-13,-4,-6,-7,12,-5,-25,-2,2,6,-8,-13,5,-18,-30,-16,-16,-9,-25,-14,24,-23,0,-20,1,0,-20,-45,-19,-18,-55,-12,-19,-11,-53,-20,-5,-39,-24,-2,-20,-7,-14,-24,3,-13,-23,2,-5,-11,5,1,-9,-13,-13,-2
2018-01-14,8,-13,6,-29,-9,-7,-16,-3,1,14,-110,-25,-5,-2,-14,-1,-12,12,-28,-24,-20,-17,-15,-33,-14,29,-22,-7,-19,1,2,-29,-34,-9,-1,-20,-25,-21,-10,-33,-15,-5,-68,-17,-8,-15,-10,-16,-21,5,-5,-18,-10,-7,-16,0,-13,-12,-12,-10,0
2018-01-15,6,-25,-13,-66,-9,-12,-19,4,5,9,-51,-26,-10,8,-20,-19,-6,1,-20,-16,-22,-9,-21,-15,-5,9,-20,0,-16,1,4,-99,-61,-2,-8,-30,-16,-25,-6,-32,-6,-1,-43,-12,-13,-14,-7,-20,-28,3,-18,-15,-13,-3,-8,5,-9,-12,-7,-12,2
2018-01-16,1,-14,-11,-36,-18,-7,-20,-11,5,10,-39,-23,-6,-29,-11,-36,-8,-9,-24,-13,-15,-19,-24,-22,-6,-7,-33,0,-17,-5,-2,-48,-75,2,-6,-22,-8,-23,-21,-23,-9,-3,-27,-12,-6,-6,-5,-27,-10,-3,-16,-15,-9,-2,-2,-2,-1,-4,-8,2,4
2018-01-17,5,-22,-21,-11,-11,-9,-17,-18,4,15,-24,-14,-18,-33,-3,-27,-2,-4,-23,-17,-11,-22,-13,-8,1,-10,-31,-1,-15,7,2,-38,-56,-12,-8,-21,-16,-29,-48,-20,0,-16,-15,-5,4,-2,-3,-22,-38,-7,-28,-11,-8,0,-4,-9,-2,-1,-9,0,3
2018-01-18,10,-52,-13,-15,-7,1,-14,-13,5,21,-12,-12,-15,-15,-4,-25,4,-5,-21,-19,-14,-22,-16,-7,-1,-7,-34,7,-7,-9,-6,-30,-41,-7,-13,-16,-8,-24,-67,-19,-4,-16,-13,-1,4,-5,1,-19,-66,-6,-26,-16,-4,4,3,-4,-11,-3,-2,2,-4
2018-01-19,11,-36,-10,-20,-23,-5,-21,-9,7,7,-13,-10,-10,-2,-15,-17,14,-8,-14,-4,-8,-14,-31,1,8,-12,-27,-12,-3,-9,0,-28,-27,7,-11,-8,-5,-29,-30,-13,-11,7,-20,6,7,3,-17,-17,-64,-5,-25,-16,-6,3,-6,0,-13,6,0,1,-18
2018-01-20,13,-16,-1,-4,-56,-14,-15,-6,11,2,-29,-13,-7,-5,-29,-19,-38,-9,-10,5,-11,-6,-24,2,7,2,-26,-7,-5,-17,-13,-23,-36,-4,-4,-27,-17,-19,-16,-20,-10,-4,-14,-3,-1,-13,-20,-26,-41,-3,-19,-12,-8,-3,-6,2,-21,-1,3,-46,-13
2018-01-21,-45,-50,6,-39,-40,-3,-8,-1,6,-7,-31,-16,-4,-1,-18,-37,-43,-11,-11,-10,-9,0,-15,2,10,18,-15,-4,-9,-34,-16,-20,-71,-24,-4,-12,-17,-17,-12,-11,-19,-5,-18,1,-25,-11,-17,-20,-30,-5,-18,-13,-6,-24,-4,1,-12,1,14,-42,-11
2018-01-22,-140,-31,19,-38,-32,-6,-4,-1,-4,-6,-14,-6,-1,-1,-10,-45,-14,2,-9,-14,-9,4,-15,9,11,-25,-15,-5,-4,-34,-9,-17,-44,-28,12,-19,-8,-13,-8,-8,-14,2,-19,-13,-25,-6,-15,-51,-73,0,-12,-11,-3,-13,-2,-8,-4,-12,-9,-26,-14
2018-01-23,-82,-34,22,-31,-18,0,0,8,1,-14,-4,-7,5,0,-14,-50,-14,3,-4,-15,3,3,-46,2,-3,-15,-5,5,-31,-21,-13,-13,-32,-24,11,-3,-6,-4,-11,-6,-4,-3,-27,-64,-13,-10,-20,-67,-40,-9,-12,-4,1,-14,-2,-48,2,-10,-6,-18,-9
2018-01-24,-50,-14,15,-25,-17,6,-1,-5,3,-6,-3,-6,-5,-5,-10,-34,-16,12,-8,-15,-2,0,-51,2,-8,-12,-15,10,-21,-20,-13,-11,-23,-34,-9,5,-6,-2,-8,-4,2,5,-39,-42,-35,-13,-20,-38,-26,-6,-8,-6,1,-18,2,-29,1,-5,-5,-6,-9
2018-01-25,-63,-19,8,-15,-20,13,-15,-4,11,-3,4,-6,-33,-2,-17,-32,-15,-22,-1,-15,-3,-1,-46,7,-6,-12,-23,8,-6,-11,-9,-16,-18,-38,-1,-4,-7,-6,-5,-5,-5,-4,-31,-30,-28,-9,-32,-65,-20,-1,-5,-10,4,-10,-7,-42,11,-10,1,-5,-3
2018-01-26,-36,-33,-32,-12,-15,1,-6,-11,13,-5,0,-6,-19,-1,-3,-23,-15,-30,3,-8,-11,-17,-45,7,-5,-1,-20,-18,2,-21,-7,-15,-15,-27,-29,16,-36,-10,0,-7,-9,-4,-16,-17,-27,-23,-15,-38,-14,-25,-8,-12,-5,-7,-3,-31,-26,-16,-13,6,-4
2018-01-27,-27,-16,-15,-8,-14,-6,2,-5,11,-5,11,-12,-27,0,-42,-24,-22,-24,-1,-5,-2,-14,-47,-20,-12,-1,-16,-11,-11,-21,-8,-23,-16,-14,-12,-26,-23,-17,2,-11,-22,-7,-27,3,-17,-18,-5,-29,0,-18,-5,-8,-10,-2,-5,-23,-25,-6,-9,9,-17
2018-01-28,-19,-1,-12,-2,-14,-5,5,7,7,10,-11,-24,-17,10,-69,-33,-27,-16,-10,-1,-5,2,-30,-36,-17,-14,-19,-6,-67,-24,-7,-9,-16,5,-8,-29,-16,-20,9,-6,-27,4,-13,-30,-2,-9,-11,-19,-3,-14,-3,-9,-6,-2,1,-13,-14,-7,-6,-3,-10
2018-01-29,-34,-5,-4,5,-14,-2,9,-15,4,9,0,-28,-10,5,-41,-30,-24,-16,2,-3,-26,-28,-24,-51,-16,1,-18,-6,-59,-19,-16,-6,-16,-26,0,-23,-9,-12,-16,-21,-24,0,-8,-27,-17,-9,-14,-14,-7,-9,-15,-8,-6,-4,1,-16,-6,-9,-3,-2,-9
2018-01-30,-63,13,-10,6,-7,-3,-23,-11,3,7,-5,-23,-5,5,-31,-21,-23,-14,6,-2,-50,-46,-23,-31,-10,-26,-19,-20,-33,-17,-4,-3,-16,-33,0,-29,-6,-14,-42,-17,-20,-38,-7,-20,-10,-1,-38,-11,-17,-6,-33,-5,-4,0,1,-10,-4,-10,-12,4,-1
2018-01-31,-39,4,-14,13,-1,2,-66,-8,9,3,1,-10,-10,-3,-22,-16,-12,-11,1,-16,-45,-49,-22,-20,-27,-33,-22,-15,-22,-14,-5,-1,-31,-37,2,-29,-50,-12,-35,-15,-17,-20,-7,-14,-23,-4,-35,-11,-18,2,-26,0,-3,-7,15,-6,5,-4,-12,-14,-11
2018-02-01,-25,9,-14,5,2,16,-35,-15,7,7,-4,-7,-7,4,-23,-11,-22,-11,-23,-15,-15,-29,-24,-12,-17,-63,-22,-12,-23,-7,-2,5,-50,-32,-28,-30,-50,-7,-27,-12,-12,-8,-2,-7,-26,-18,-25,-11,-18,0,-23,-20,-9,-8,-8,-4,3,6,-9,-28,-23
2018-02-02,-18,8,-26,-7,5,8,-15,-7,14,13,-1,-21,-36,-8,-22,-17,-15,-10,-12,-13,-23,-21,-29,-11,-22,-84,-7,-8,-21,2,-3,2,-46,-46,-58,-85,-35,-18,-28,-13,-14,-6,9,-8,-13,-48,-57,-11,-11,-6,-19,-34,-4,-11,-13,-3,-11,1,-28,1,-21
2018-02-03,-12,16,-24,-31,5,7,-7,-2,13,4,4,-32,-95,-4,-13,-20,-15,-5,-13,-13,-10,-26,-18,-6,-21,-59,-1,-33,-17,3,1,-4,-60,-29,-36,-115,-24,-13,-36,-10,-18,-9,5,-5,-3,-26,-42,-18,-13,-4,-15,-29,-3,-13,-10,-7,1,4,-19,-26,-23
2018-02-04,-40,10,-36,-29,-39,-8,0,-4,1,-2,2,-39,-40,-7,-7,-20,-8,-2,-3,-12,-4,-18,-24,-4,-13,-75,-45,-69,-12,3,1,0,-38,-32,-22,-73,-23,-13,-35,-5,-11,-22,-6,-2,3,-16,-45,-16,-10,-7,-12,-27,-18,-9,-8,-13,1,3,-14,2,-18
2018-02-05,-69,-21,-36,-24,-103,-25,-4,0,6,-8,-12,-23,-33,-8,-2,-18,-7,-2,-7,-8,-2,-32,-38,-4,-36,-70,-149,-45,-15,3,8,-39,-36,-50,-4,-51,-15,-38,-21,-6,-6,10,-17,-2,10,-31,-34,-9,-1,5,-12,-21,-18,-5,-41,-14,-1,9,-6,-8,-17
2018-02-06,-42,-31,-29,-33,-41,-8,0,-22,6,-8,-9,-20,-19,-5,-11,-12,-3,-2,-6,-9,-14,-24,-31,-33,-57,-69,-89,-21,-40,-1,6,-23,-40,-28,-3,-26,-2,-78,-9,-1,-13,3,-15,-30,-2,-56,-24,-14,-4,-13,-20,-16,-14,-6,-33,-10,3,-15,-7,-3,-15
2018-02-07,-26,-27,-20,-7,-41,-9,4,-18,-39,-2,-14,-6,-21,-4,-2,-18,-8,-5,-14,-27,-22,-16,-15,-50,-75,-61,-85,-20,-29,-47,-1,-23,-41,-52,-3,-32,-16,-74,-22,-5,-6,9,-19,-37,-7,-26,-32,-11,-19,-10,-18,-17,-5,-9,-24,-18,-8,-9,-14,-7,-15
2018-02-08,-23,-26,-6,-4,-35,-3,3,-15,-9,2,-67,-19,-19,3,-1,-17,-14,0,-7,-27,-21,-20,-21,-39,-28,-45,-58,-14,-29,-136,-11,-16,-29,-39,-16,-48,-44,-67,-48,-4,-16,1,-12,-25,-1,-21,-27,-1,-33,-1,-19,-14,-3,-7,-15,-20,-9,-16,-18,-24,-4
2018-02-09,-14,-25,-42,5,-24,1,20,-22,-11,9,-39,-40,-14,5,-6,-9,-23,5,-8,-18,-30,-32,-21,-26,-54,-33,-40,-10,-34,-165,-13,-10,-29,-21,-24,-162,-40,-53,-20,-8,-29,-16,-6,-20,3,-18,-27,-5,-27,5,-18,-6,-4,-4,-14,-9,-7,-27,-11,-4,-2
2018-02-10,1,-30,-17,9,-14,6,-47,-13,-10,10,-25,-38,-13,5,-13,4,-16,9,-26,-15,-30,-10,-18,-13,-24,-49,-34,-17,-27,-103,-7,-21,-29,-10,-21,-74,-33,-53,-11,-16,-54,-11,-6,-14,1,-14,-27,-8,-22,8,-19,-15,2,-10,-9,-7,-4,-21,-11,-12,-9
2018-02-11,-1,-226,-27,5,-7,6,-20,-7,-5,2,-20,-93,-82,0,-15,-5,-9,-5,-24,-13,-30,-5,-15,-5,-15,-50,-16,-37,-24,-81,-1,-19,-18,-12,-17,-34,-35,-53,-25,-28,-39,-18,-5,-16,0,-18,-22,-31,-16,2,-20,-25,1,-1,-7,-5,-2,-13,-7,-19,-8
2018-02-12,-4,-107,-30,-9,-6,-29,-15,0,-4,-4,-8,-51,-59,8,-5,-5,-10,-16,-33,-10,-18,0,-38,-4,-18,-60,-44,-17,-22,-74,-28,-23,-29,-9,-16,-27,-23,-49,-28,-20,-25,-18,-20,-75,7,-19,-11,-40,-12,-4,-5,-21,-4,-17,-10,1,-5,-12,-5,-12,1
2018-02-13,-25,-58,-24,4,-23,-12,-19,-21,7,-1,-10,-32,-41,14,-6,-10,-2,-10,-23,-17,-19,-7,-13,5,-14,-86,-47,-43,-14,-63,-14,-16,-38,9,-14,-22,-22,-49,-42,-20,-16,-14,-13,-49,-14,-19,-8,-34,-7,-2,-11,-18,-2,-11,1,-10,-3,6,-2,3,-2
2018-02-14,-26,-51,-39,-45,-17,-13,-12,-15,1,4,-16,-13,-26,-6,-11,-23,2,-6,-23,-13,-22,-8,-6,-18,-3,-77,-37,-40,-14,-47,-1,-14,-33,-38,-9,-13,-21,-46,-42,-21,-17,-10,-9,-44,-35,-11,-11,-33,-6,5,-28,-16,-14,-10,2,-19,-23,7,7,-8,4
2018-02-15,-17,-14,-49,-26,-13,2,-12,-8,-4,11,-5,-21,-21,-5,-28,-17,-8,0,-20,-10,-20,-50,-16,-24,-2,-64,-41,-30,-20,-40,-1,-32,-28,-34,-11,-9,-14,-40,-31,-19,-14,-11,-10,-34,-16,-4,-19,-36,-1,4,-22,-20,-22,-27,-26,-56,-10,18,2,-3,1
2018-02-16,-10,9,-48,-14,-30,-23,-5,-6,-2,3,-53,-24,-20,6,-38,-12,-2,4,-23,-6,-21,-66,-16,-89,-15,-35,-38,-15,-11,-31,-9,-29,-33,-80,-3,-4,-7,-39,-26,-7,-24,0,-5,-21,-5,-9,-15,-26,-12,-6,-19,-14,-17,-33,-15,-24,-7,-13,6,-28,1
2018-02-17,-5,-18,-74,-15,-26,-33,3,-3,2,12,-60,-20,-12,3,-31,-25,-24,-7,-19,3,-15,-43,-1,-42,-1,-24,-27,-6,-24,-27,-7,-27,-18,-66,-4,0,-27,-24,-14,-15,-34,-19,-19,-23,-5,-6,-12,-21,-13,-8,-22,-15,-11,-23,-6,-9,-20,-17,-27,-36,-15
2018-02-18,-18,-34,-33,-34,-60,-14,9,-2,4,9,-37,-35,-6,-6,-28,-35,-18,9,-21,-9,-14,-35,4,-43,3,-33,-30,-17,-13,-42,-6,-26,-8,-50,1,-16,-50,-18,-11,-3,-21,-58,-85,-14,1,-8,-2,-17,-46,2,-17,-16,-6,-9,-5,-1,-17,-11,-43,-39,-16
2018-02-19,-25,-34,-32,-24,-28,-6,16,-2,2,3,-23,-30,5,0,-24,-34,-12,8,-10,-16,-6,-33,-14,-30,0,-34,-18,-3,-6,-29,-1,-24,-5,-54,-1,-5,-30,-24,-12,-13,-7,-35,-77,-6,1,-17,-3,-15,-26,-1,-10,-22,-3,-11,-24,-39,-14,-63,-22,-28,-15
2018-02-20,-29,-37,-9,-32,-25,3,14,5,11,-16,-15,-33,-2,3,-19,-28,-7,10,-6,-10,0,-35,-17,-14,-8,-25,-45,9,-28,-39,-21,-12,-21,-53,-2,-65,-26,-30,-13,-11,-5,-26,-43,-1,5,-7,-12,-12,-24,-19,-7,-15,-1,-2,-18,-30,-11,-58,-15,-21,-13
2018-02-21,-32,-44,-6,-21,-25,1,0,-28,-6,-8,-15,-36,-4,5,-25,-21,-31,-13,-5,-10,-3,-29,-52,-4,-9,-21,-55,-16,-14,-41,-28,-21,-17,-39,1,-106,-25,-50,-7,-7,-10,-10,-25,-2,-6,-6,-11,-3,-26,-19,-4,-14,1,-1,-15,-21,-8,-44,-11,-12,-2
2018-02-22,-32,-32,1,-9,-20,0,2,-13,2,-8,-19,-20,2,7,-12,-13,-71,-11,-1,-7,-9,-40,-60,7,8,-50,-41,-12,-16,-48,-24,-91,-11,-32,2,-75,-33,-94,-5,-11,-19,-7,-12,0,-1,-2,-6,-4,-2,-20,-4,-9,0,-6,-9,-10,-18,-35,-6,-1,-11
2018-02-23,-25,-32,-19,-12,-12,-3,6,-11,-3,-24,-26,-14,2,17,-11,-4,-60,-21,-20,-5,-10,-18,-37,-4,-6,-70,-29,-8,-10,-55,-19,-74,-5,-52,-12,-48,-25,-50,-12,-16,-16,-11,-21,1,-15,-6,-5,-3,12,-14,-6,-9,-6,-11,-7,-9,-18,-21,-17,-3,-3
2018-02-24,-94,-16,-2,-4,-16,-8,6,-1,-11,-13,-28,-14,0,13,-22,-48,-51,-21,-19,4,-14,-14,-44,-12,-8,-43,-31,-3,-19,-46,-16,-42,-10,-70,-7,-42,-12,-37,-3,-26,-16,-10,-15,-15,-3,-2,-6,-16,10,-12,-5,-6,-12,-7,0,-6,-13,-27,-33,-9,-15
2018-02-25,-40,0,-59,2,-7,0,6,-8,-8,-7,-16,-10,-3,7,-43,-47,-42,-18,-17,8,-15,-1,-35,-4,-50,-48,-23,-6,-17,-41,-13,-36,-7,-71,-7,-106,-9,-37,-1,-33,-15,-5,-18,-20,6,-3,-3,-7,-1,-5,-6,-8,-9,-6,0,-3,8,-12,-18,4,-13
2018-02-26,-20,8,-84,11,-3,8,6,-17,-3,-4,-24,-4,-2,-20,-46,-28,-39,-16,-7,7,-17,-36,-49,-22,-48,-39,-17,-10,-10,-42,-8,-32,-3,-55,-9,-89,-5,-29,-24,-26,-17,2,-10,-17,1,-16,-3,4,-3,-8,-8,-8,-4,-8,-4,-5,-2,-3,-10,-2,-5
2018-02-27,-13,5,-49,-7,4,-20,10,-11,-2,1,-12,-5,-16,-19,-27,-17,-39,-14,-1,-18,-9,-44,-56,-18,-51,-30,-7,-28,-1,-41,-4,-25,-4,-52,0,-101,-3,-22,-34,-21,-29,1,-8,-14,-16,-9,-46,7,-1,-6,-3,-10,-8,-2,0,-14,3,-19,5,3,-5
2018-02-28,-4,-2,-59,2,-14,-9,12,-7,0,3,-2,-37,-35,-20,-23,-21,-30,-19,0,-28,-8,-52,-44,-17,-37,-14,-2,-11,-55,-40,-18,-14,-3,-56,-18,-66,-27,-17,-46,-25,-54,-10,-12,-23,-6,-11,-35,-15,-1,-5,-25,-25,-10,5,7,-29,2,-57,-2,5,-14
2018-03-01,1,-4,-60,-18,-11,1,-5,-7,-1,6,-4,-36,-22,-35,-12,-1,-28,-11,-14,-21,-2,-46,-37,-3,-39,-24,-5,-25,-30,-38,-10,-1,-9,-46,-16,-50,-18,-20,-41,-9,-33,-18,-69,-23,-5,-48,-31,-14,-1,-5,-22,-36,-6,5,-23,-19,-34,-33,-26,7,-17
2018-03-02,-160,-7,-49,-29,-8,-6,3,2,4,12,-6,-29,-25,-23,-6,-18,-38,-10,-12,-22,-5,-40,-37,3,-54,-166,-129,-58,-27,-32,-9,-3,-36,-38,-21,-29,-29,-21,-34,-7,-27,-24,-48,-18,0,-15,-25,-17,-6,-1,-15,-27,-6,-4,-35,-31,-27,-19,-30,4,-38
2018-03-03,-91,-8,-39,-26,-1,-3,5,10,-10,7,4,-34,-12,-13,-10,-22,-32,-11,-1,-27,1,-36,-31,5,-36,-67,-70,-41,-27,-28,-2,4,-60,-22,-9,-17,-45,-38,-26,-8,-26,-19,-37,-7,-4,-21,-22,-8,1,0,-8,-25,4,-9,-21,-29,-21,-14,-15,0,-31
2018-03-04,-49,-41,-36,-23,7,-1,6,-38,-41,-1,2,-40,-6,-20,-24,-18,-25,-7,-1,-19,5,-14,-45,5,-41,-27,-52,-31,-13,-33,-6,-24,-49,-17,-4,-2,-35,-12,-32,-19,-21,-20,-35,-1,-18,-8,-48,-3,4,1,-4,-21,-9,-15,-21,-31,-17,-7,-4,-3,-27
2018-03-05,-38,-39,-35,-15,-3,-1,5,-35,-6,-3,-9,-41,-3,-11,-15,-12,-11,-12,-24,-15,1,-16,-36,-4,-109,-38,-47,-13,-24,-33,-13,-17,-41,-24,-32,-14,-21,-9,-44,-15,-12,-4,-30,-1,-35,-22,-29,-1,-2,2,-7,-23,-6,-9,-16,-29,-8,-5,1,3,-21
2018-03-06,-35,-40,-23,-3,-71,-17,4,-28,-4,3,-9,-31,-11,-31,-11,-8,-18,-17,-22,-20,-1,-16,-53,2,-96,-19,-48,-33,-25,-51,-13,-34,-34,-39,-35,-8,-14,-22,-26,-9,-24,9,-27,-9,-14,-21,-39,6,-27,4,-17,-16,0,-6,-4,-23,-2,-6,-1,-6,-25
2018-03-07,-26,-33,-21,5,-18,-13,8,-22,-4,7,2,-24,-18,-42,-6,-37,-18,-12,-10,-28,-7,-14,-42,-1,-62,-6,-33,-34,-26,-58,-25,-16,-33,-21,-23,-3,-36,-62,-13,-10,-19,-4,-44,-27,-10,-11,-29,4,-33,-27,-25,-16,0,-7,-11,-61,2,-4,-7,-59,-23
2018-03-08,-29,-32,-24,-1,-15,-5,-13,-20,1,12,5,-16,-22,-101,-2,-20,-7,-14,0,-39,0,-11,-29,-2,-49,-17,-24,-31,-24,-45,-17,-27,-24,-17,-24,1,-25,-69,-6,-11,-17,11,-27,-29,-6,-8,-20,1,-29,-6,-20,-10,-4,-7,-19,-32,3,-4,-4,-32,-17
2018-03-09,-31,-29,-13,5,-8,1,-6,-16,9,11,-5,-9,-17,-150,-6,-22,-8,-16,0,-24,-27,-59,-22,-1,-24,-32,-6,-27,-18,-29,-14,-19,-69,-10,-37,-6,-74,-64,-8,-7,-4,5,-36,-14,-6,-6,-20,-15,-25,0,-15,-47,-9,-1,-10,-98,2,1,-2,-23,-22
2018-03-10,-91,-27,8,-8,-50,-10,-19,-13,8,-2,-13,-12,-8,-74,-8,-16,-3,-12,-62,-29,-26,-43,-38,2,-16,-37,3,-18,0,-22,-15,-17,-55,-12,-34,-15,-48,-57,-30,-9,-2,-33,-45,-15,1,-10,-23,-52,-24,1,-13,-29,-4,-5,-34,-69,8,3,6,-22,-20
2018-03-11,-81,-29,19,-16,-41,-11,-17,-8,7,0,-1,-16,-20,-56,-4,-26,-2,-12,-56,-26,-20,-28,-77,5,-16,-27,-12,-25,-13,-17,-5,-18,-37,-8,-14,-19,-56,-58,-30,-28,-4,-68,-24,-37,1,-12,-16,-35,-12,-15,-10,-25,-2,-16,-61,-41,3,0,3,-5,-15
2018-03-12,-43,-81,-1,-18,-26,-14,-13,-20,9,4,1,-13,-54,-40,-14,-7,-14,-8,-43,-27,-31,-19,-32,7,-11,-14,-67,-21,-12,-15,-4,-14,-39,-21,-16,-14,-55,-48,-49,-23,-9,-46,-13,-19,0,-4,-7,-35,-7,-9,-5,-21,1,-16,-36,-38,9,-3,-3,-12,-19
2018-03-13,-29,-88,-4,-10,-15,-11,-8,-10,3,1,2,-5,-29,-32,-39,-9,-6,-4,-34,-20,-24,-29,-20,10,-11,-15,-66,-25,-7,-34,-4,-9,-190,-95,-35,-7,-37,-48,-41,-28,-20,-41,-13,-13,-15,-2,-11,-30,-4,-4,-21,-22,-22,-12,-17,-42,4,-18,3,-6,-4
2018-03-14,-12,-33,-1,8,-22,-1,-4,-8,-1,-69,-1,-6,-18,-23,-42,-4,-1,-9,-31,-19,-19,-18,-6,0,-51,-12,-40,-13,3,-27,-4,-5,-225,-50,-29,6,-31,-46,-34,-23,-10,-34,-12,-13,-9,1,-19,-29,-20,3,-15,-21,-16,-11,-13,-38,9,-10,5,-1,-6
2018-03-15,1,-34,8,-4,-17,4,-3,-9,1,-23,3,-25,-38,-23,-37,4,5,1,-29,-12,-13,-23,10,5,-49,-13,-27,-2,-14,-20,-4,-17,-110,-27,-8,12,-61,-56,-26,-19,-16,-43,-24,-6,-3,11,-22,-24,-8,7,-10,-25,-16,-5,-7,-47,1,-3,5,-31,2
2018-03-16,-26,-30,13,-81,-22,9,6,2,3,-15,15,-22,-23,-14,-26,-35,6,-26,-25,-11,-14,-30,-3,16,-32,-5,-21,-12,-7,-21,-8,-23,-85,-21,-3,-12,-47,-42,-25,-11,-9,-37,-8,11,4,12,-24,-18,-1,-2,-14,-15,-8,-4,0,-50,-14,-2,20,-30,-8
2018-03-17,-33,-29,8,-35,-20,11,4,-6,8,-6,14,-16,-38,-7,-26,-28,-1,-31,-23,-15,-22,-30,-12,11,-27,19,-19,-19,-2,-12,-9,-15,-96,0,-1,4,-36,-47,-11,-18,-13,-21,-2,12,5,8,-43,-16,-18,0,-12,-13,-5,-4,1,-43,-65,6,-73,-34,-1
